Table 5.11 List of major power producer power stations in the United Kingdom operational at the end of May 2024 [note 1],,,,,,,,,,,,,,,
This worksheet contains one table,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet, to turn off freeze panes select the 'view' then 'freeze panes' then 'unfreeze panes' or use [Alt W, F]   ",,,,,,,,,,,,,,,
"This table contains empty cells, empty cells indicate data not applicable",,,,,,,,,,,,,,,
Company Name [note 30],Site Name,Technology,Type,CHP,Primary Fuel,Secondary Fuel, InstalledCapacity (MW),Grid Connection Type,Country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned
Capital Dynamics UK,Potato Pot,Wind,Onshore,No,Wind,,  7.1 ,LV,England,North West,CA14 4ST,,,,2016
Capital Dynamics UK,Middle Balbeggie,Wind,Onshore,No,Wind,,  6.9 ,HV,Scotland,Scotland,KY1 3NS,,,,2013
Capital Dynamics UK,Shantavny,Wind,Onshore,No,Wind,,  16.1 ,HV,Northern Ireland,Northern Ireland,BT70 2DL,,,,2017
Capital Dynamics UK,Airfield Poddington,Wind,Onshore,No,Wind,,  8.3 ,HV,England,East Midlands,NN29 7JQ,,,,2017
Capital Dynamics UK,Red Gap,Wind,Onshore,No,Wind,,  12.5 ,HV,England,North East,TS27 3HH,,,,2016
Capital Dynamics UK,Falkirk Tod Hill,Wind,Onshore,No,Wind,,  12.3 ,HV,Scotland,Scotland,FK5 4SJ,,,,2016
Capital Dynamics UK,Harthill Torrance,Wind,Onshore,No,Wind,,  5.7 ,HV,Scotland,Scotland,EH48 3AN,,,,2016
Capital Dynamics UK,Westnewton (BEGL4),Wind,Onshore,No,Wind,,  6.2 ,HV,England,North West,CA7 3PB,,,,2014
Capital Dynamics UK,Dunmore,Wind,Onshore,No,Wind,,  21.0 ,LV,Northern Ireland,Northern Ireland,NV914889,,,,2014
Capital Dynamics UK,Crockandun,Wind,Onshore,No,Wind,,  15.0 ,LV,Northern Ireland,Northern Ireland,BT80 9UA,,,,2017
Capital Dynamics UK,Elginny,Wind,Onshore,No,Wind,,  23.0 ,LV,Northern Ireland,Northern Ireland,BT43 7GZ,,,,2018
Capital Dynamics UK,Whiteside Hill,Wind,Onshore,No,Wind,,  28.5 ,HV,Scotland,Scotland,DG4 6LF,,,,2018
Capital Dynamics UK,Sorbie,Wind,Onshore,No,Wind,,  12.6 ,,Scotland,Scotland,,"55.658546, -4.791289",,,2023
Community Wind Power,Aikengall,Wind,Onshore,No,Wind,,  48.0 ,,Scotland,Scotland,,,,,2009
Community Wind Power,Aikengall II,Wind,Onshore,No,Wind,,  60.8 ,,Scotland,Scotland,,,,,2017
Community Wind Power,Aikengall IIA,Wind,Onshore,No,Wind,,  81.7 ,,Scotland,Scotland,,,,,2021
Community Wind Power,Calder Water,Wind,Onshore,No,Wind,,  39.0 ,,Scotland,Scotland,,,,,2013
Community Wind Power,Millour Hill,Wind,Onshore,No,Wind,,  18.0 ,,Scotland,Scotland,,,,,2012
Community Wind Power,Millour Hill Ext.,Wind,Onshore,No,Wind,,  6.4 ,,Scotland,Scotland,,,,,2016
Community Wind Power,Sanquhar,Wind,Onshore,No,Wind,,  31.1 ,,Scotland,Scotland,,,,,2018
Community Wind Power,Wardlaw Wood,Wind,Onshore,No,Wind,,  18.0 ,,Scotland,Scotland,,,,,2006
